n,tiempo_recursivo(s),tiempo_iterativo(s)
1000,0.00000000,0.00000000
4000,0.00000000,0.00000000
6000,0.00000000,0.00000000
8000,0.00100000,0.00000000
10000,0.00000000,0.00000000
